"","se_1","se_2","se_3","se_4","se_5","se_6","se_7","se_8","se_9","se_10","se_11","se_12","se_13","se_14","se_15","se_16","se_17"
"1-iodopentane",15.4894056943432,15.691059141172,15.6744639021132,15.372728645885,15.7691910418744,15.3243143317327,16.0171447474619,15.7012211574143,15.1793982972414,14.6594456720684,16.0454839109958,15.4575101210904,15.8455351233045,15.6917800716936,15.3213122311783,15.5240954866378,15.7743836498986
"1-methoxyphenazine",12.6180967939728,11.9240697311023,12.4809624508472,12.2453056437388,12.1945956028769,11.5906715447093,11.2704556054425,11.6820731951508,11.0772494202263,12.0663738293927,11.7333478848534,11.8984371368705,11.7522512750766,11.380452187403,11.8955292855068,11.3675679423647,11.921340418644
"1-methyl-1,2-dihydropyridine-3-carboxamide",15.2002296058514,14.9954595085625,14.5973387673387,14.3138579730313,14.0285167752556,15.2081296962886,15.1663324371564,15.0460125832491,15.5200546273078,13.5252298959721,15.3219791984362,14.9136590056671,14.6662640065036,15.0894361023425,14.4582089779174,15.1593164953126,14.4162940841176
"1-methyl-2-(2-thiophen-2-ylethenyl)-5,6-dihydro-4h-pyrimidine",14.1486377599009,14.069560068327,14.2197451125601,14.1769624557915,14.2147387000513,14.4727161259895,13.6597061555343,14.1939648057019,13.7340397853813,14.6992358147566,14.3696646499213,13.809146684778,14.4170414471372,14.2042102406254,14.1135537213074,14.2035758062141,14.2809895910646
"1-methyl-2-hydroadenosine",16.0892643417326,15.9541226450092,15.8028665544104,15.8655763861855,15.8704798098327,16.0621365616724,16.1267578735123,15.7983746771647,16.0944219557826,15.9434581600215,16.1108787263683,16.0437079567958,15.9790125900507,16.0705220681507,16.0732607389655,15.9944456996133,15.8572443281037
"1-methylhistidine",13.5184712695849,13.9205187668501,13.9456508800102,13.6175087499122,13.9827999224639,13.941438634453,14.0059285973523,14.2096618306462,13.8172321655457,14.3307759783656,13.6340207061672,13.7080830752405,14.0686252015842,14.0006007795223,13.6768874849062,14.2658204726811,14.0901061987038
"1-naphthalenesulfonic acid",15.3898041066825,16.892829141706,16.370271152966,16.6041820729696,15.7018789929387,16.7925018138504,16.1025683011902,16.090837176882,16.7013705010522,16.1658078524004,16.5283773486383,16.9398151327233,16.1825238517569,15.8356434671584,16.9634842723692,16.0756048043292,16.3235566847782
"1-naphthyl isocyanate",13.928132674614,13.8148599734076,13.9926994066718,13.6866073297168,13.9341928809743,14.1521140020686,13.7104420158514,14.0177424936311,13.5514685268043,14.3962381421901,14.2572100025511,13.3463694765557,14.1295589274633,13.9558360421978,13.9156697390771,13.9902679428985,14.1283422264298
"1-naphthylamine",12.9199239969293,12.3826735437075,12.8629403471748,12.6893193881877,12.8084774555131,13.2017806267974,12.56524389659,12.9976100723095,12.2823839831716,13.3635829105345,13.0353957008233,12.153351357783,12.7954847086422,12.8708779633229,12.5449575717059,12.8389626038018,12.89859242005
"1-nitropyrene",13.9891825122292,11.9326559835438,14.0599881566065,11.4818435236333,11.6855442529284,11.4640681306144,13.8432880157519,11.7533206254531,11.4742838500304,14.7123421193818,14.6761693069931,11.6433457973291,14.0196986113897,12.5460565181397,11.7861386081391,14.3718616838108,13.9919293631571
